Time [s],Elevation [m],Throttle [%],Motor Torque [Nm],Longitudinal Acceleration [m/s^2],Regenerative Braking Signal ,Battery Voltage [V],Battery Current [A],Battery Temperature [°C],max. Battery Temperature [°C],dSoC [%p],Heating Power CAN [kW],Requested Heating Power [W],AirCon Power [kW],Heater Signal,Ambient Temperature [°C],Heat Exchanger Temperature [°C],Cabin Temperature Sensor [°C]
187.2,552.72,18.56,19.59,0.33,0.0,384.26,-6.24,18.0,19.0,0.0,0.0,0,1.07,0,24.04,5.5,39.84
187.3,552.72,20.64,25.11,0.43,0.0,384.21,-6.64,18.0,19.0,0.0,0.0,0,1.08,0,24.09,5.5,39.84
187.4,552.72,20.93,34.19,0.59,0.0,384.16,-7.22,18.0,19.0,0.0,0.0,0,1.08,0,24.14,5.5,39.84
187.5,552.72,22.74,40.99,0.68,0.0,384.11,-7.82,18.0,19.0,0.0,0.0,0,1.08,0,24.19,5.5,39.84
187.6,552.72,25.21,45.8,0.79,0.0,384.06,-8.59,18.0,19.0,0.0,0.0,0,1.08,0,24.24,5.5,39.84
187.7,552.72,27.07,53.89,0.94,0.0,384.01,-9.39,18.0,19.0,0.0,0.0,0,1.08,0,24.29,5.5,39.84
187.8,552.72,30.04,62.58,1.06,0.0,383.87,-10.92,18.0,19.0,0.0,0.0,0,1.08,0,24.34,5.5,39.84
187.9,552.72,33.15,71.09,1.24,0.0,383.72,-12.57,18.0,19.0,0.0,0.0,0,1.08,0,24.39,5.5,39.84
188.0,552.72,34.8,88.78,1.57,0.0,383.48,-15.12,18.0,19.0,0.0,0.0,0,1.08,0,24.44,5.5,39.84
188.1,552.72,34.95,104.58,1.82,0.0,383.23,-17.82,18.0,19.0,0.0,0.0,0,1.09,0,24.49,5.5,39.84
188.2,552.73,34.86,111.69,1.87,0.0,383.07,-19.58,18.0,19.0,0.0,0.0,0,1.09,0,24.5,5.5,39.84
188.3,552.73,34.8,111.7,1.86,0.0,382.92,-21.18,18.0,19.0,0.0,0.0,0,1.09,0,24.5,5.5,39.84
188.4,552.73,35.05,111.8,1.86,0.0,382.77,-22.52,18.0,19.0,0.0,0.0,0,1.09,0,24.5,5.5,39.84
188.5,552.73,36.83,111.09,1.78,0.0,382.62,-23.82,18.0,19.0,0.0,0.0,0,1.09,0,24.5,5.5,39.84
188.6,552.73,38.53,110.27,1.79,0.0,382.43,-25.89,18.0,19.0,0.0,0.0,0,1.1,0,24.5,5.5,39.84
188.7,552.73,38.38,114.82,1.77,0.0,382.23,-28.09,18.0,19.0,0.0,0.0,0,1.1,0,24.5,5.5,39.84
188.8,552.73,38.23,116.54,1.79,0.0,382.11,-28.96,18.0,19.0,0.0,0.0,0,1.1,0,24.5,5.5,39.84
188.9,552.73,38.3,112.46,1.72,0.0,382.01,-29.61,18.0,19.0,0.0,0.0,0,1.1,0,24.5,5.5,39.84
189.0,552.73,38.38,105.82,1.55,0.0,382.09,-28.62,18.0,19.0,0.0,0.0,0,1.1,0,24.5,5.5,39.84
189.1,552.73,38.38,94.68,1.39,0.0,382.19,-27.37,18.0,19.0,0.0,0.0,0,1.11,0,24.5,5.5,39.84
189.2,552.74,38.53,84.5,1.23,0.0,382.24,-26.34,18.0,19.0,0.0,0.0,0,1.11,0,24.5,5.5,39.84
189.3,552.74,38.92,77.46,1.13,0.0,382.29,-25.34,18.0,19.0,0.0,0.0,0,1.11,0,24.5,5.5,39.84
189.4,552.74,40.56,72.27,1.11,0.0,382.3,-25.37,18.0,19.0,0.0,0.0,0,1.11,0,24.5,5.5,39.84
189.5,552.74,43.67,70.77,1.0,0.0,382.3,-25.57,18.0,19.0,0.0,0.0,0,1.11,0,24.5,5.5,39.84
189.6,552.74,46.2,75.14,1.1,0.0,381.91,-30.07,18.0,19.0,0.0,0.0,0,1.12,0,24.5,5.5,39.84
189.7,552.74,46.28,92.36,1.46,0.0,381.46,-35.28,18.0,19.0,0.0,0.0,0,1.12,0,24.5,5.5,39.84
189.8,552.74,46.2,107.09,1.51,0.0,381.1,-38.84,18.0,19.0,0.0,0.0,0,1.12,0,24.5,5.5,39.84
189.9,552.74,45.99,112.32,1.38,0.0,380.75,-42.14,18.0,19.0,0.0,0.0,0,1.12,0,24.5,5.5,39.84
190.0,552.74,46.19,111.23,1.34,0.0,380.57,-44.24,18.0,19.0,0.0,0.0,0,1.11,0,24.5,5.5,39.84
190.1,552.74,46.13,111.27,1.61,0.0,380.42,-46.13,18.0,19.0,0.0,0.0,0,1.11,0,24.5,5.5,39.84
190.2,552.75,45.95,113.73,1.63,0.0,380.27,-47.22,18.0,19.0,0.0,0.0,0,1.1,0,24.5,5.5,39.84
190.3,552.75,46.21,113.0,1.69,0.0,380.12,-48.17,18.0,19.0,0.0,0.0,0,1.1,0,24.5,5.5,39.84
190.4,552.75,47.22,110.05,1.69,0.0,379.97,-49.5,18.0,19.0,0.0,0.0,0,1.09,0,24.5,5.5,39.84
190.5,552.75,47.2,109.99,1.31,0.0,379.82,-50.9,18.0,19.0,-0.04000000000000625,0.0,0,1.09,0,24.5,5.5,39.84
190.6,552.75,48.13,114.49,1.09,0.0,379.67,-52.3,18.0,19.0,-0.04999999999999716,0.0,0,1.08,0,24.5,5.5,39.84
190.7,552.75,49.69,111.76,1.41,0.0,379.52,-53.7,18.0,19.0,-0.010000000000005116,0.0,0,1.08,0,24.5,5.5,39.84
190.8,552.75,51.73,111.24,1.56,0.0,379.16,-57.73,18.0,19.0,0.0,0.0,0,1.09,0,24.5,5.5,39.84
190.9,552.75,52.08,119.49,1.62,0.0,378.76,-62.18,18.0,19.0,0.0,0.0,0,1.09,0,24.5,5.5,39.84
191.0,552.75,53.73,126.24,1.83,0.0,378.4,-65.47,18.0,19.0,0.0,0.0,0,1.1,0,24.5,5.5,39.84
191.1,552.75,56.03,126.24,2.16,0.0,378.05,-68.57,18.0,19.0,0.0,0.0,0,1.1,0,24.5,5.5,39.84
191.2,552.75,58.68,127.48,2.8,0.0,377.4,-75.58,18.0,19.0,0.0,0.0,0,1.11,0,24.5,5.5,39.84
191.3,552.76,59.08,144.23,2.55,0.0,376.7,-83.23,18.0,19.0,0.0,0.0,0,1.11,0,24.5,5.5,39.84
191.4,552.76,58.92,149.22,2.61,0.0,376.34,-87.14,18.0,19.0,0.0,0.0,0,1.12,0,24.5,5.5,39.84
191.5,552.76,58.85,146.0,2.5,0.0,376.04,-90.44,18.0,19.0,0.0,0.0,0,1.12,0,24.5,5.5,39.84
191.6,552.76,58.53,154.23,2.43,0.0,375.74,-92.75,18.0,19.0,0.0,0.0,0,1.12,0,24.5,5.5,39.84
191.7,552.76,58.68,149.01,2.47,0.0,375.44,-94.9,18.0,19.0,0.0,0.0,0,1.12,0,24.5,5.5,39.84
191.8,552.76,58.38,148.0,2.52,0.0,375.18,-97.14,18.0,19.0,0.0,0.0,0,1.12,0,24.5,5.5,39.84
191.9,552.76,58.45,148.5,2.5,0.0,374.93,-99.39,18.0,19.0,0.0,0.0,0,1.12,0,24.5,5.5,39.84
192.0,552.76,58.53,145.5,2.44,0.0,374.73,-101.42,18.0,19.0,0.0,0.0,0,1.12,0,24.5,5.5,39.84
192.1,552.76,58.45,145.26,2.45,0.0,374.53,-103.42,18.0,19.0,0.0,0.0,0,1.12,0,24.5,5.5,39.84
192.2,552.76,58.45,144.01,2.42,0.0,374.24,-105.68,18.0,19.0,0.0,0.0,0,1.12,0,24.5,5.5,39.84
192.3,552.77,58.53,145.26,2.39,0.0,373.94,-107.98,18.0,19.0,0.0,0.0,0,1.12,0,24.5,5.5,39.84
192.4,552.77,58.15,141.77,2.37,0.0,373.73,-110.02,18.0,19.0,0.0,0.0,0,1.12,0,24.5,5.5,39.84
192.5,552.77,56.76,141.51,2.48,0.0,373.53,-112.02,18.0,19.0,0.0,0.0,0,1.12,0,24.5,5.5,39.84
192.6,552.77,55.98,141.77,2.37,0.0,373.37,-112.95,18.0,19.0,0.0,0.0,0,1.12,0,24.5,5.5,39.84
192.7,552.77,54.42,138.5,2.22,0.0,373.22,-113.7,18.0,19.0,0.0,0.0,0,1.12,0,24.5,5.5,39.84
192.8,552.77,51.26,136.24,2.11,0.0,373.46,-109.84,18.0,19.0,0.0,0.0,0,1.12,0,24.5,5.5,39.84
192.9,552.77,49.02,126.29,1.98,0.0,373.76,-105.24,18.0,19.0,-0.03999999999999204,0.0,0,1.12,0,24.5,5.5,39.84
193.0,552.77,44.35,116.01,1.83,0.0,374.45,-96.04,18.0,19.0,-0.05000000000001137,0.0,0,1.12,0,24.5,5.5,39.84
193.1,552.77,42.85,102.3,1.51,0.0,375.2,-86.09,18.0,19.0,-0.009999999999990905,0.0,0,1.12,0,24.5,5.5,39.84
193.2,552.77,43.1,82.82,1.04,0.0,376.33,-73.85,18.0,19.0,0.0,0.0,0,1.13,0,24.5,5.5,39.84
193.3,552.78,43.5,66.99,1.15,0.0,377.53,-61.25,18.0,19.0,0.0,0.0,0,1.13,0,24.5,5.5,39.84
193.4,552.78,43.72,58.27,0.98,0.0,378.04,-55.41,18.0,19.0,0.0,0.0,0,1.14,0,24.5,5.5,39.84
193.5,552.78,43.87,54.27,0.67,0.0,378.44,-50.66,18.0,19.0,0.0,0.0,0,1.14,0,24.5,5.5,39.84
193.6,552.78,43.87,49.74,1.01,0.0,378.63,-49.23,18.0,19.0,0.0,0.0,0,1.15,0,24.5,5.5,39.84
193.7,552.78,44.35,48.24,0.89,0.0,378.78,-48.33,18.0,19.0,0.0,5.52,0,1.15,0,24.5,5.5,39.84
193.8,552.78,44.72,45.74,1.4,0.0,378.97,-46.99,18.0,19.0,0.0,5.52,0,1.16,0,24.5,5.5,39.84
193.9,552.78,44.81,43.26,1.07,0.0,379.17,-45.6,18.0,19.0,0.0,5.52,0,1.16,0,24.5,5.5,39.84
194.0,552.78,44.43,43.49,0.73,0.0,379.2,-44.8,18.0,19.0,0.0,5.52,0,1.15,0,24.5,5.5,39.84
194.1,552.78,43.81,43.01,0.59,0.0,379.2,-44.1,18.0,19.0,0.0,5.52,0,1.15,0,24.5,5.5,39.84
194.2,552.78,42.26,42.25,0.65,0.0,379.37,-42.06,18.0,19.0,0.0,5.52,0,1.14,0,24.5,5.5,39.84
194.3,552.78,39.24,39.53,0.66,0.0,379.57,-39.81,18.0,19.0,0.0,5.52,0,1.14,0,24.5,5.5,39.84
194.4,552.79,33.9,34.28,0.3,0.0,380.03,-34.77,18.0,19.0,0.0,5.52,0,1.13,0,24.5,5.5,39.84
194.5,552.79,29.08,27.77,0.56,0.0,380.53,-29.27,18.0,19.0,0.0,5.52,0,1.13,0,24.5,5.5,39.84
194.6,552.79,27.22,20.26,0.21,0.0,381.07,-23.38,18.0,19.0,0.0,5.52,0,1.12,0,24.5,5.5,39.84
194.7,552.79,26.83,14.0,-0.22,0.0,381.62,-17.43,18.0,19.0,0.0,0.0,0,1.12,0,24.5,5.5,39.84
194.8,552.79,26.83,9.27,-0.14,0.0,381.96,-13.93,18.0,19.0,0.0,0.0,0,1.12,0,24.5,5.5,39.84
194.9,552.79,26.13,5.76,-0.22,0.0,382.26,-10.83,18.0,19.0,0.0,0.0,0,1.12,0,24.5,5.5,39.84
195.0,552.79,23.72,4.27,-0.11,0.0,382.52,-8.16,18.0,19.0,0.0,0.0,0,1.12,0,24.5,5.5,39.84
195.1,552.79,21.08,1.76,-0.06,0.0,382.77,-5.56,18.0,19.0,0.0,0.0,0,1.12,0,24.5,5.5,39.84
195.2,552.79,18.46,-2.49,-0.2,0.0,383.19,-1.24,18.0,19.0,0.0,0.0,0,1.12,0,24.5,5.5,39.84
195.3,552.79,15.67,-9.25,-0.35,0.0,383.64,3.36,18.0,19.0,0.0,0.0,0,1.12,0,24.5,5.5,39.84
195.4,552.8,13.71,-13.0,-0.48,0.0,384.13,9.29,18.0,19.0,0.0,0.0,0,1.12,0,24.5,5.5,39.84
195.5,552.8,11.64,-21.21,-0.58,0.0,384.63,15.44,18.0,19.0,0.0,0.0,0,1.12,0,24.5,5.5,39.84
195.6,552.8,8.15,-32.95,-0.96,0.0,385.52,25.34,18.0,19.0,0.0,0.0,0,1.12,0,24.5,5.5,39.84
195.7,552.8,8.3,-44.99,-1.19,0.0,386.47,35.84,18.0,19.0,0.0,0.0,0,1.12,0,24.5,5.5,39.84
195.8,552.8,8.66,-60.75,-0.97,1.0,386.99,39.8,18.0,19.0,0.0,0.0,0,1.12,0,24.5,5.5,39.84
195.9,552.8,8.9,-62.24,-1.29,1.0,387.44,42.7,18.0,19.0,0.0,0.0,0,1.12,0,24.5,5.5,39.84
196.0,552.8,9.37,-57.5,-1.3,1.0,387.33,40.78,18.0,19.0,0.0,0.0,0,1.12,0,24.5,5.5,39.84
196.1,552.8,10.07,-55.26,-1.22,1.0,387.13,38.08,18.0,19.0,0.0,0.0,0,1.12,0,24.5,5.5,39.84
196.2,552.8,10.75,-54.51,-1.22,1.0,387.01,35.85,18.0,19.0,0.0,0.0,0,1.12,0,24.5,5.5,39.84
196.3,552.8,10.75,-51.01,-1.18,1.0,386.91,33.7,18.0,19.0,0.0,0.0,0,1.16,0,24.5,5.5,39.84
196.4,552.81,11.08,-51.25,-1.17,1.0,386.86,32.71,18.0,19.0,0.0,0.0,0,1.16,0,24.5,5.5,39.84
196.5,552.81,11.46,-49.75,-1.21,1.0,386.81,31.91,18.0,19.0,0.0,0.0,0,1.16,0,24.5,5.5,39.84
196.6,552.81,11.61,-49.25,-1.05,1.0,386.76,30.9,18.0,19.0,0.0,0.0,0,1.16,0,24.5,5.5,39.84
196.7,552.81,11.62,-47.76,-1.35,1.0,386.71,29.85,18.0,19.0,0.0,0.0,0,1.16,0,24.5,5.5,39.84
196.8,552.81,11.47,-47.99,-1.04,1.0,386.7,29.66,18.0,19.0,0.0,0.0,0,1.16,0,24.5,5.5,39.84
196.9,552.81,11.47,-49.01,-1.23,1.0,386.7,29.61,18.0,19.0,0.0,0.0,0,1.16,0,24.5,5.5,39.84
197.0,552.81,11.25,-49.49,-1.12,1.0,386.74,29.9,18.0,19.0,0.0,0.0,0,1.16,0,24.5,5.5,39.84
197.1,552.81,7.62,-49.5,-1.23,1.0,386.79,30.25,18.0,19.0,0.0,0.0,0,1.16,0,24.5,5.5,39.84
197.2,552.81,3.12,-56.23,-1.2,1.0,387.4,37.75,18.0,19.0,0.0,0.0,0,1.16,0,24.48,5.5,39.84
197.3,552.81,0.0,-72.25,-1.59,1.0,388.1,46.4,18.0,19.0,0.0,0.0,0,1.16,0,24.43,5.5,39.84
197.4,552.81,0.0,-85.24,-1.76,1.0,388.37,48.25,18.0,19.0,0.0,0.0,0,1.16,0,24.38,5.5,39.84
197.5,552.82,0.02,-85.28,-1.81,1.0,388.57,49.0,18.0,19.0,0.0,0.0,0,1.16,0,24.33,5.5,39.84
197.6,552.82,0.05,-83.74,-1.71,1.0,388.56,47.72,18.0,19.0,0.0,0.0,0,1.16,0,24.28,5.5,39.84
197.7,552.82,0.38,-84.51,-1.77,1.0,388.51,46.12,18.0,19.0,0.0,0.0,0,1.16,0,24.23,5.5,39.84
197.8,552.82,0.92,-83.01,-1.83,1.0,388.37,44.14,18.0,19.0,0.0,0.0,0,1.16,0,24.18,5.5,39.84
197.9,552.82,1.7,-81.0,-1.7,1.0,388.22,42.08,18.0,19.0,0.03999999999999204,0.0,0,1.16,0,24.13,5.5,39.84
198.0,552.82,2.38,-79.5,-1.73,1.0,388.07,40.25,18.0,19.0,0.05000000000001137,0.0,0,1.16,0,24.08,5.5,39.84
198.1,552.82,2.3,-77.51,-1.84,1.0,387.92,38.45,18.0,19.0,0.009999999999990905,0.0,0,1.16,0,24.03,5.5,39.84
198.2,552.82,2.23,-77.49,-1.76,1.0,387.86,37.38,18.0,19.0,0.0,0.0,0,1.16,0,24.0,5.5,39.84
198.3,552.82,2.23,-77.25,-1.62,1.0,387.81,36.43,18.0,19.0,0.0,0.0,0,1.16,0,24.0,5.5,39.84
198.4,552.82,2.23,-77.25,-1.55,1.0,387.76,35.53,18.0,19.0,0.0,0.0,0,1.16,0,24.0,5.5,39.84
198.5,552.83,2.23,-77.0,-1.44,1.0,387.71,34.63,18.0,19.0,0.0,0.0,0,1.17,0,24.0,5.5,39.84
198.6,552.83,2.38,-77.25,-1.42,1.0,387.61,33.72,18.0,19.0,0.0,0.0,0,1.17,0,24.0,5.5,39.84
198.7,552.83,3.22,-77.0,-1.47,1.0,387.51,32.82,18.0,19.0,0.0,0.0,0,1.17,0,24.0,5.5,39.84
198.8,552.83,6.17,-75.75,-1.59,1.0,387.28,29.3,18.0,19.0,0.0,0.0,0,1.17,0,24.0,5.5,39.84
198.9,552.83,9.13,-68.28,-1.49,1.0,387.03,25.35,18.0,19.0,0.0,0.0,0,1.17,0,24.0,5.5,39.84
199.0,552.83,9.53,-57.75,-1.18,1.0,386.74,22.82,18.0,19.0,0.0,0.0,0,1.18,0,24.0,5.5,39.84
199.1,552.83,9.53,-54.74,-1.1,1.0,386.44,20.52,18.0,19.0,0.0,0.0,0,1.18,0,24.0,5.5,39.84
199.2,552.83,9.68,-56.49,-1.19,1.0,386.36,19.68,18.0,19.0,0.0,0.0,0,1.18,0,24.0,5.5,39.84
199.3,552.83,10.23,-55.51,-1.28,1.0,386.31,19.08,18.0,19.0,0.0,0.0,0,1.18,0,24.0,5.5,39.84
199.4,552.83,11.08,-54.51,-1.25,1.0,386.21,17.79,18.0,19.0,0.0,0.0,0,1.18,0,24.0,5.5,39.84
199.5,552.84,11.4,-52.01,-1.07,1.0,386.11,16.39,18.0,19.0,0.0,0.0,0,1.19,0,24.0,5.5,39.84
199.6,552.84,11.4,-49.51,-1.18,1.0,386.06,15.77,18.0,19.0,0.0,0.0,0,1.19,0,24.0,5.5,39.84
199.7,552.84,11.4,-50.25,-1.04,1.0,386.01,15.27,18.0,19.0,0.0,0.0,0,1.19,0,24.0,5.5,39.84
199.8,552.84,11.4,-50.5,-1.11,1.0,385.96,14.86,18.0,19.0,0.0,0.0,0,1.19,0,24.0,5.5,39.84
199.9,552.84,11.53,-50.24,-1.08,1.0,385.91,14.46,18.0,19.0,0.0,0.0,0,1.19,0,24.0,5.5,39.84
200.0,552.84,11.53,-50.25,-1.22,1.0,385.9,13.97,18.0,19.0,0.0,0.0,0,1.2,0,24.0,5.5,39.84
200.1,552.84,11.77,-50.0,-1.17,1.0,385.9,13.47,18.0,19.0,0.0,0.0,0,1.2,0,24.0,5.5,39.84
200.2,552.84,13.99,-49.0,-1.11,1.0,385.77,11.72,18.0,19.0,0.0,0.0,0,1.2,0,24.0,5.5,39.84
200.3,552.84,18.2,-43.75,-0.99,1.0,385.62,9.77,18.0,19.0,0.0,0.0,0,1.2,0,24.0,5.5,39.84
200.4,552.84,19.7,-33.78,-0.62,1.0,385.3,6.31,18.0,19.0,0.0,0.0,0,1.2,0,24.0,5.5,39.84
200.5,552.84,19.7,-22.51,-0.5,1.0,384.95,2.61,18.0,19.0,0.0,0.0,0,1.2,0,24.0,5.5,39.84
200.6,552.85,19.38,-22.24,-0.74,1.0,384.9,2.75,18.0,19.0,0.0,0.0,0,1.2,0,24.0,5.5,39.84
200.7,552.85,19.15,-25.23,-0.64,0.51,384.9,3.5,18.0,19.0,0.0,5.52,0,1.2,0,24.0,5.5,39.84
200.8,552.85,18.7,-25.75,-0.65,0.0,384.94,3.82,18.0,19.0,0.0,5.52,0,1.2,0,24.0,5.5,39.84
200.9,552.85,17.6,-26.75,-0.64,0.0,384.99,4.07,18.0,19.0,0.0,5.52,0,1.2,0,24.0,5.5,39.84
201.0,552.85,17.45,-29.48,-0.69,0.0,385.04,4.4,18.0,19.0,0.0,5.52,0,1.2,0,24.0,5.5,39.84
201.1,552.85,17.6,-31.5,-0.72,0.0,385.09,4.75,18.0,19.0,0.0,5.52,0,1.2,0,24.0,5.5,39.84
201.2,552.85,17.66,-29.5,-0.68,0.0,385.06,4.41,18.0,19.0,0.0,5.52,0,1.2,0,24.0,5.5,39.84
201.3,552.85,17.82,-29.0,-0.67,0.0,385.01,3.96,18.0,19.0,0.0,5.52,0,1.2,0,24.0,5.5,39.84
201.4,552.85,18.12,-29.25,-0.6,0.0,384.96,3.51,18.0,19.0,0.0,5.52,0,1.2,0,24.0,5.5,39.84
201.5,552.85,18.97,-27.75,-0.61,0.0,384.91,3.06,18.0,19.0,0.0,5.52,0,1.21,0,24.0,5.5,39.84
201.6,552.86,21.3,-25.75,-0.6,0.0,384.81,1.79,18.0,19.0,0.0,5.52,0,1.22,0,24.0,5.5,39.84
201.7,552.86,23.32,-20.27,-0.53,0.0,384.71,0.39,18.0,19.0,0.0,0.0,0,1.23,0,24.0,5.46,39.84
201.8,552.86,25.5,-14.28,-0.55,0.0,384.57,-1.14,18.0,19.0,0.0,0.0,0,1.24,0,24.0,5.41,39.84
201.9,552.86,26.9,-9.26,-0.22,0.0,384.42,-2.69,18.0,19.0,0.0,0.0,0,1.24,0,24.0,5.36,39.84
202.0,552.86,27.27,-6.27,-0.13,0.0,384.36,-3.29,18.0,19.0,0.0,0.0,0,1.24,0,24.0,5.31,39.84
202.1,552.86,27.28,-5.26,-0.38,0.0,384.31,-3.74,18.0,19.0,0.0,0.0,0,1.24,0,24.0,5.26,39.84
202.2,552.86,27.28,-5.25,-0.18,0.0,384.3,-3.8,18.0,19.0,0.0,0.0,0,1.24,0,24.0,5.21,39.84
202.3,552.86,27.35,-5.25,-0.2,0.0,384.3,-3.8,18.0,19.0,0.0,0.0,0,1.24,0,24.0,5.16,39.84
202.4,552.86,27.43,-5.24,-0.29,0.0,384.26,-3.93,18.0,19.0,0.0,0.0,0,1.24,0,24.0,5.11,39.84
202.5,552.86,28.36,-4.51,-0.22,0.0,384.21,-4.08,18.0,19.0,0.0,0.0,0,1.24,0,24.0,5.06,39.84
202.6,552.87,29.28,-2.75,-0.15,0.0,384.2,-4.36,18.0,19.0,0.0,0.0,0,1.24,0,24.0,5.01,39.84
202.7,552.87,30.45,0.0,-0.22,0.0,384.2,-4.66,18.0,19.0,0.0,0.0,0,1.24,0,24.0,5.0,39.84
202.8,552.87,31.55,0.0,-0.09,0.0,384.16,-5.0,18.0,19.0,0.0,0.0,0,1.24,0,24.0,5.0,39.84
202.9,552.87,32.48,0.49,-0.1,0.0,384.11,-5.35,18.0,19.0,0.0,0.0,0,1.24,0,24.0,5.0,39.84
203.0,552.87,32.8,2.5,-0.04,0.0,384.01,-6.61,18.0,19.0,0.0,0.0,0,1.24,0,24.0,5.0,39.84
203.1,552.87,32.88,5.23,0.06,0.0,383.91,-8.01,18.0,19.0,0.0,0.0,0,1.23,0,24.0,5.0,39.84
203.2,552.87,32.87,7.76,-0.01,0.0,383.9,-7.64,18.0,19.0,0.0,0.0,0,1.22,0,24.0,5.0,39.84
203.3,552.87,32.95,4.0,0.01,0.0,383.9,-6.99,18.0,19.0,0.0,0.0,0,1.21,0,24.0,5.0,39.84
203.4,552.87,32.95,6.0,0.02,0.0,383.9,-6.99,18.0,19.0,0.0,0.0,0,1.2,0,24.0,5.0,39.84
203.5,552.87,32.95,6.26,0.01,0.0,383.9,-7.09,18.0,19.0,0.0,0.0,0,1.2,0,24.0,5.0,39.84
203.6,552.87,33.02,5.74,0.04,0.0,383.9,-7.23,18.0,19.0,0.0,0.0,0,1.2,0,24.0,5.0,39.84
203.7,552.88,36.5,5.74,0.04,0.0,383.9,-7.38,18.0,19.0,0.0,0.0,0,1.2,0,24.0,5.0,39.84
203.8,552.88,37.9,7.76,0.09,0.0,383.81,-8.39,18.0,19.0,0.0,0.0,0,1.2,0,24.0,5.0,39.84
203.9,552.88,37.83,11.23,0.15,0.0,383.71,-9.54,18.0,19.0,0.0,0.0,0,1.2,0,24.0,5.0,39.84
204.0,552.88,37.75,15.74,0.21,0.0,383.57,-10.86,18.0,19.0,0.0,0.0,0,1.2,0,24.0,5.0,39.84
204.1,552.88,37.98,19.76,0.23,0.0,383.42,-12.21,18.0,19.0,0.0,0.0,0,1.2,0,24.0,5.0,39.84
204.2,552.88,40.22,22.49,0.3,0.0,383.31,-13.86,18.0,19.0,0.0,0.0,0,1.2,0,24.0,5.0,39.84
204.3,552.88,43.63,26.21,0.39,0.0,383.21,-15.57,18.0,19.0,0.0,0.0,0,1.2,0,24.0,5.0,39.84
204.4,552.88,45.58,37.72,0.68,0.0,382.6,-22.74,18.0,19.0,0.0,0.0,0,1.2,0,24.0,5.0,39.84
204.5,552.88,45.5,60.2,1.1,0.0,381.9,-30.79,18.0,19.0,0.0,0.0,0,1.2,0,24.0,5.0,39.84
204.6,552.88,45.58,79.2,1.38,0.0,381.37,-35.69,18.0,19.0,0.0,0.0,0,1.2,0,24.0,5.0,39.84
204.7,552.89,45.68,86.5,1.47,0.0,380.87,-40.09,18.0,19.0,0.0,0.0,0,1.2,0,24.0,5.0,39.84
204.8,552.89,45.43,90.74,1.5,0.0,380.63,-42.55,18.0,19.0,0.0,0.0,0,1.2,0,24.0,5.0,39.84
204.9,552.89,44.28,92.74,1.45,0.0,380.43,-44.7,18.0,19.0,0.0,0.0,0,1.2,0,24.0,5.0,39.84
205.0,552.89,43.43,93.0,1.44,0.0,380.36,-44.83,18.0,19.0,0.0,0.0,0,1.2,0,24.0,5.0,39.84
205.1,552.89,43.5,89.26,1.44,0.0,380.31,-44.63,18.0,19.0,0.0,0.0,0,1.24,0,24.0,5.0,39.84
205.2,552.89,43.5,86.27,1.42,0.0,380.3,-44.38,18.0,19.0,0.0,0.0,0,1.24,0,24.0,5.0,39.84
205.3,552.89,43.57,83.24,1.45,0.0,380.3,-44.13,18.0,19.0,0.0,0.0,0,1.24,0,24.0,5.0,39.84
205.4,552.89,43.72,82.01,1.36,0.0,380.26,-44.1,18.0,19.0,0.0,0.0,0,1.24,0,24.0,5.0,39.84
205.5,552.89,43.78,80.51,1.25,0.0,380.21,-44.1,18.0,19.0,-0.03999999999999204,0.0,0,1.24,0,24.0,5.0,39.84
205.6,552.89,43.58,79.0,1.01,0.0,380.2,-43.88,18.0,19.0,-0.05000000000001137,0.0,0,1.24,0,24.0,5.0,39.84
205.7,552.9,43.72,78.0,1.31,0.0,380.2,-43.63,18.0,19.0,-0.009999999999990905,0.0,0,1.24,0,24.0,5.0,39.84
205.8,552.9,44.02,75.5,1.06,0.0,380.2,-43.69,18.0,19.0,0.0,0.0,0,1.24,0,24.0,5.0,39.84
205.9,552.9,43.95,74.0,1.08,0.0,380.2,-43.79,18.0,19.0,0.0,0.0,0,1.2,0,24.0,5.0,39.84
206.0,552.9,44.1,73.49,0.9,0.0,380.16,-44.19,18.0,19.0,0.0,0.0,0,1.2,0,24.0,5.0,39.84
206.1,552.9,44.58,72.5,1.04,0.0,380.11,-44.64,18.0,19.0,0.0,0.0,0,1.2,0,24.0,5.0,39.84
206.2,552.9,44.81,71.49,1.01,0.0,380.06,-45.22,18.0,19.0,0.0,0.0,0,1.19,0,24.0,5.0,39.84
206.3,552.9,44.88,71.74,0.62,0.0,380.01,-45.82,18.0,19.0,0.0,0.0,0,1.19,0,24.0,5.0,39.84
206.4,552.9,45.2,72.25,1.06,0.0,379.87,-46.85,18.0,19.0,0.0,0.0,0,1.19,0,24.0,5.0,39.84
206.5,552.9,45.03,73.24,1.28,0.0,379.72,-47.95,18.0,19.0,0.0,0.0,0,1.19,0,24.0,5.0,39.84
206.6,552.9,45.2,73.25,1.11,0.0,379.66,-48.27,18.0,19.0,0.0,0.0,0,1.19,0,24.0,5.0,39.84
206.7,552.9,45.43,72.26,0.97,0.0,379.61,-48.47,18.0,19.0,0.0,0.0,0,1.19,0,24.0,5.0,39.84
206.8,552.91,45.03,72.75,1.4,0.0,379.51,-49.15,18.0,19.0,0.0,0.0,0,1.18,0,24.0,5.0,39.84
